condition_id,run_id,record_count,shards,repetition,open_ns,recover_ns,recovered_count
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,0,6800875,2921208,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,1,6804542,2877625,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,2,6820459,2867583,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,3,6847334,2889292,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,4,7224042,2952083,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,5,7037958,2838333,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,6,6783833,2839417,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,7,6732042,2748625,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,8,6614459,2780167,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,9,6683542,2805083,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,10,6684459,2805167,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,11,6689666,2833958,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,12,6770541,2845375,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,13,6818041,3048125,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,14,6760334,2834292,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,15,6684833,2830792,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,16,6809042,2839833,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,17,6755042,2851333,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,18,6777250,2854541,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,19,6773500,2837583,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,20,6747542,2847334,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,21,6768042,2866084,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,22,6731958,2839375,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,23,6804000,2827000,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,24,6741459,2849041,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,25,6723166,2845959,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,26,6938833,3009167,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,27,6630167,2812542,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,28,6795958,2799042,1000
recovery-1000,runtimeguard-v2-canonical-20260712-release,1000,4,29,6786042,2813500,1000
recovery-10000,runtimeguard-v2-canonical-20260712-release,10000,4,0,66052500,27804709,10000
recovery-10000,runtimeguard-v2-canonical-20260712-release,10000,4,1,64066000,28079000,10000
recovery-10000,runtimeguard-v2-canonical-20260712-release,10000,4,2,63266875,28119958,10000
recovery-10000,runtimeguard-v2-canonical-20260712-release,10000,4,3,67555084,28329458,10000
recovery-10000,runtimeguard-v2-canonical-20260712-release,10000,4,4,64253625,27860417,10000
recovery-10000,runtimeguard-v2-canonical-20260712-release,10000,4,5,62813041,27351584,10000
recovery-10000,runtimeguard-v2-canonical-20260712-release,10000,4,6,62220208,27888375,10000
recovery-10000,runtimeguard-v2-canonical-20260712-release,10000,4,7,62964750,27902625,10000
recovery-10000,runtimeguard-v2-canonical-20260712-release,10000,4,8,68680125,30321834,10000
recovery-10000,runtimeguard-v2-canonical-20260712-release,10000,4,9,63343042,28235666,10000
recovery-10000,runtimeguard-v2-canonical-20260712-release,10000,4,10,63983500,27942166,10000
recovery-10000,runtimeguard-v2-canonical-20260712-release,10000,4,11,66313625,28154209,10000
recovery-10000,runtimeguard-v2-canonical-20260712-release,10000,4,12,66846000,28202708,10000
recovery-10000,runtimeguard-v2-canonical-20260712-release,10000,4,13,63510459,27960500,10000
recovery-10000,runtimeguard-v2-canonical-20260712-release,10000,4,14,63117208,28599167,10000
recovery-10000,runtimeguard-v2-canonical-20260712-release,10000,4,15,66887250,27985291,10000
recovery-10000,runtimeguard-v2-canonical-20260712-release,10000,4,16,73741333,29001083,10000
