mode_key,threads,prompt_bytes,p50_us_median,p50_us_ci_low,p50_us_ci_high,p95_us_median,p95_us_ci_low,p95_us_ci_high,p99_us_median,p99_us_ci_low,p99_us_ci_high,throughput_rps_median,throughput_rps_ci_low,throughput_rps_ci_high,repetitions
evidence:none,8,2048,259.66675,256.45825,280.39599999999996,331.32187499999986,298.301775,377.58389999999997,506.01645999999994,482.11682499999995,543.3490049999999,30093.630298198892,27852.38007693181,30792.1589909386,20
evidence:data,1,2048,4000.208,3881.5207499999997,4004.25025,4680.051624999999,4135.095525000001,4863.458024999998,6046.0501649999915,5076.339044999997,7106.288839999999,243.67632053505656,241.9791604874797,279.2563861006007,20
policy_only,4,16384,5.8955,5.875,7.625,6.4585,6.166525,8.9375,8.731369999999998,7.209534999999999,11.630209999999995,535348.8203805117,408172.73991907074,571605.7958384764,20
policy_only,4,128,0.167,0.167,0.209,0.5834999999999999,0.5205,0.7084999999999999,0.8551199999999994,0.7716249999999995,1.0625,2151096.995975168,1900322.4188857279,2443237.9863102306,20
evidence:data,4,128,15976.896,15449.865,15987.895499999999,28902.452074999994,28002.583175,29100.155049999994,52031.074094999996,46050.601874999986,64034.40124999999,243.58574027717705,242.41880262306512,257.2828643029973,20
evidence:none,8,128,26.0205,24.375,28.2605,38.861774999999994,34.13019999999999,40.276199999999996,3604.7043349999976,3224.3814549999975,4137.004089999996,35937.19990708673,33091.61178903133,38815.540804772754,20
evidence:full,8,128,31959.978750000002,27990.4585,32014.260000000002,62028.8137,59604.378274999995,64527.726924999995,119993.35891999996,102449.68154499994,137018.03386999987,244.25145126544035,241.91730071363259,273.83572710286796,20
evidence:full,1,16384,4014.87475,3934.83325,4022.2292500000003,5029.379349999999,4937.565624999999,5089.271175,6206.2388399999945,5418.575579999999,7994.355834999999,234.70364009735363,232.26155065261116,266.85895930187286,20
evidence:full,8,16384,32042.88525,29855.64575,32102.5935,36866.502075,34835.691124999976,38013.308175,51964.48740999999,47583.07650499996,60039.97029999999,242.53306427859195,240.29059389461042,270.12846198856084,20
evidence:none,4,128,23.854,22.229,29.29175,34.792575,29.356099999999998,40.294624999999996,65.75083499999982,53.68557999999922,151.49320499999925,40596.51661828944,32055.199222569165,44536.40604674327,20
evidence:full,8,2048,32034.43775,30498.7395,32045.32325,42977.229175,39913.791975,51026.315449999995,63006.383539999995,61571.76557999999,65510.060669999984,243.18059297401697,242.2926014316391,257.8561019217718,20
policy_only,1,2048,0.8335,0.75,1.125,0.917,0.875,1.25,1.0627099999999998,1.0002099999999998,1.3335,861020.5889360502,626059.5084052476,903801.8534655607,20
evidence:none,4,16384,230.41675,228.7815,235.15625,278.654325,267.63335,297.92202499999996,320.79891499999997,296.488245,354.81795999999997,16682.596341383334,16074.298455652734,17021.24726135064,20
evidence:none,1,16384,80.3335,78.67675,82.45824999999999,103.0226,94.586625,107.70729999999998,109.923375,102.46246,128.46654,11965.185924092257,11569.932247086675,12237.549471609469,20
policy_only,8,128,0.27075,0.22949999999999998,0.333,0.9375249999999999,0.8345249999999991,1.209524999999999,18.789459999999984,15.893749999999983,25.78445999999999,1190770.443803626,1034328.9403396995,1918849.2005597358,20
evidence:none,4,2048,141.875,126.32325,148.708,187.86979999999994,150.7335,195.97619999999998,238.14453499999996,228.286335,251.38937499999997,27192.807809111582,25546.035895310633,30813.526831359006,20
evidence:data,1,16384,4020.7915000000003,4011.84375,4030.90625,5059.906274999999,5022.484225,5114.2937249999995,6323.062664999999,5793.931579999999,7043.744124999999,233.92847011607017,231.97016946148938,237.58964831627407,20
evidence:data,4,2048,16018.64625,16011.03125,16058.552,27903.13005,24117.56489999999,28473.260425,33963.302379999994,29825.133079999992,40747.563079999985,240.12256799289864,227.53520694079162,244.14421118128593,20
evidence:full,1,2048,4002.4579999999996,4001.094,4004.125,4763.148224999997,4525.8733999999995,4909.594225,6191.107754999999,5945.7687049999995,6820.997949999999,242.53621099706604,241.02011233791873,244.42704347262583,20
evidence:data,8,2048,32033.323,32016.968500000003,32046.7395,41220.041999999994,37976.86994999999,50386.497349999976,62012.80249999999,60831.72521,64494.775579999994,244.65203527030536,241.48941619852803,245.91966633664543,20
evidence:full,4,16384,16032.58375,16017.32275,16053.687750000001,19498.79269999999,19071.691825,23739.224999999966,29842.863705000003,28945.334044999996,36032.81533499999,240.24218096562677,232.09408594587285,241.01453614556368,20
evidence:data,1,128,4002.2185,3946.4375,4005.5417500000003,4614.850724999998,4435.31635,4944.600549999999,6504.807455,5951.672709999999,7075.714414999995,242.6623543966321,241.02373681132656,259.4029156158205,20
policy_only,8,2048,1.0415,0.875,1.3130000000000002,2.8345249999999993,2.501524999999999,3.043024999999999,23.49212999999999,20.467459999999992,26.55474499999997,1081846.004548964,916057.3520389627,1372228.6312415344,20
evidence:none,8,16384,468.93725,461.39575,479.90625,568.9590499999999,538.89825,639.5864750000001,680.069215,584.38354,736.2037049999999,16031.332019681013,15514.177107265024,16845.03611055271,20
evidence:full,4,128,15988.34425,14999.60425,15995.854,28762.635399999992,28113.22275,29595.022574999988,52087.99462999999,50947.67603999999,54540.00224999999,243.40933771602434,242.89064789777973,259.60516767004225,20
policy_only,1,16384,5.6045,5.188,6.604,5.8955,5.791525,7.0205,6.916505,6.396624999999999,7.27071,175465.31751400995,148884.78936669073,186481.86261909918,20
policy_only,1,128,0.125,0.10450000000000001,0.125,0.3335,0.2930249999999991,0.458,0.396,0.33420499999999986,0.5002099999999998,1847577.8521893725,1430098.1486980612,2025090.4140594888,20
evidence:data,8,128,31991.8125,31964.80225,32018.1875,62032.665799999995,61416.25507499998,63176.939575,101055.72679499998,91524.23687499997,120959.68041499998,243.95630457042387,241.0201120568381,244.93137682965022,20
evidence:full,1,128,4001.6045,3996.177,4005.552,4676.1479,4274.240599999998,5065.32205,6464.345329999989,6054.954169999999,8057.55713,243.2157513589579,239.0692722989644,245.67354491247812,20
evidence:none,1,2048,30.02075,27.2085,34.375,37.48157499999999,31.189574999999998,44.09342499999999,47.88604499999999,37.34536999999999,50.017704999999985,30883.527394521778,27650.939745142456,35525.30443703936,20
evidence:data,4,16384,16031.906500000001,16027.9375,16064.42725,19578.488374999997,18869.3323,24495.62009999997,28993.630294999995,28440.062079999996,34510.67332999999,238.76487728587247,230.95432134252854,240.88341077963952,20
evidence:full,4,2048,16009.1355,14506.375,16015.09375,21069.728825,19043.59912499998,24038.12395,29700.825624999998,28596.805419999997,29949.046875,244.41566934822836,242.8073070365515,270.76053023334896,20
evidence:none,1,128,24.375,23.44775,26.01075,30.936999999999998,29.834525,33.855525,36.71453999999999,34.51666499999999,40.855455,38575.84537823612,36243.615407319594,40547.443750404476,20
evidence:data,8,16384,32098.68725,32072.927,32939.36475,40339.74392499999,38367.97499999999,51983.630524999986,61543.348589999994,59933.490205,71147.67183499994,239.13655983856364,225.65582343100164,241.0926326927509,20
policy_only,4,2048,0.938,0.834,1.2085,1.2295,1.125,1.6045,3.14641,3.0024249999999975,3.9165,1717597.125931815,1377143.454619911,1984660.2659971286,20
