mode_key,threads,prompt_bytes,p50_overhead_percent_median,p50_overhead_percent_ci_low,p50_overhead_percent_ci_high,p99_overhead_percent_median,p99_overhead_percent_ci_low,p99_overhead_percent_ci_high,throughput_change_percent_median,throughput_change_percent_ci_low,throughput_change_percent_ci_high,paired_repetitions
evidence:none,8,2048,24550.944228106375,21253.023971760253,28528.384197335447,2239.7957761905145,1844.294888362645,2702.0430111129735,-97.32404652830728,-97.77202297847695,-96.93900200127081,20
evidence:data,1,2048,431573.5448255294,356449.0888888889,513740.9815656566,532103.211319592,458166.5726961806,642881.1292825642,-99.96873923296226,-99.9722491780725,-99.959534948983,20
evidence:data,4,128,8422402.560240963,7664658.422087781,9571357.035928143,6265910.719955245,5521793.605914196,6928877.827983086,-99.98906999161352,-99.98977484487307,-99.98737053946579,20
evidence:none,8,128,10192.3100871731,8140.487207207207,11291.866028708135,19130.678733931796,11756.324958275552,24396.147958383608,-96.95993955274915,-98.21542846862485,-96.47111797250703,20
evidence:full,8,128,10604204.100000001,9166025.573284548,14266043.421052631,615249.9236457733,457526.2709527164,752923.0453686013,-99.97929288144175,-99.98612244285678,-99.9754737321152,20
evidence:full,1,16384,71698.1456961266,59617.88953708667,76643.34920501115,86401.51844011007,77211.20652354177,110618.06134045174,-99.8587584343756,-99.86904384118918,-99.83097859129711,20
evidence:full,8,16384,470790.94921681564,365647.31516106287,499129.9393714586,155451.00310362686,146075.5837231687,187909.50390419908,-99.9623517281717,-99.96448159914306,-99.95847984794474,20
evidence:none,4,128,13222.816090307424,11761.743380708462,14423.763787826287,7086.816111681857,5163.671001027908,18998.44141311696,-98.32273628857833,-98.41319643119476,-97.86036383722296,20
evidence:full,8,2048,2830091.2566020316,2441137.041202696,3342934.682254197,260809.0960532673,226623.22255081925,318618.6929356997,-99.97577996927109,-99.98361658026663,-99.97331335771335,20
evidence:none,4,16384,3596.0574468085106,3110.725502593981,3821.248682980162,3696.388871334854,2716.509817119397,4427.895682508693,-96.72541758455583,-96.99880813821682,-96.03492539628508,20
evidence:none,1,16384,1345.4289554389895,1116.3434117036736,1415.7100558680468,1504.773909286861,1312.5177010816733,1706.938943457737,-93.14962573593712,-93.62371920870909,-91.80764310549353,20
evidence:none,4,2048,13510.704948517194,12265.569171777759,15023.295037439439,7531.233306811953,6121.123554875856,8204.039481809177,-98.27426985476983,-98.44032690176746,-98.12482754148425,20
evidence:data,1,16384,69920.8564252439,61633.09100742622,81108.17641428573,86074.0626980708,82683.99492952926,97462.13709467082,-99.85236040045652,-99.87494403102893,-99.84389982039899,20
evidence:data,4,2048,1606740.7921839112,1325541.6062238785,1863738.082943101,1080936.3954331633,958119.8880060904,1165618.0763329328,-99.98559266330764,-99.98777712424138,-99.98326401441157,20
evidence:full,1,2048,471120.2571428572,356065.7555555556,519299.2441919192,571302.3275902267,477055.6949371238,619517.6212769324,-99.97005381195584,-99.97267502102251,-99.9616143036591,20
evidence:data,8,2048,2921610.960919019,2441222.4544654917,3660497.657142857,276684.4895184982,229769.94963813442,331432.7303999072,-99.976023993967,-99.98315649279459,-99.97302985519195,20
evidence:full,4,16384,263544.9760009468,223702.07109769812,273494.3276595745,384800.83596249623,313066.7288285403,408391.20205944654,-99.95362222630413,-99.95831655540287,-99.94516032289349,20
evidence:data,1,128,3205808.4,3200741.5999999996,3887225.164285714,1655046.4911313397,1279722.3943005556,1812774.2075848295,-99.98676258027973,-99.98745493991842,-99.9837210489579,20
evidence:none,8,16384,6832.560205975337,5464.392342802797,7567.793419084123,1788.4734997088103,1714.9807006163865,2558.19778601669,-97.55970951050703,-97.69859847997722,-97.34717795609484,20
evidence:full,4,128,7815775.490585094,7655656.578947369,9560422.754491018,5971901.662216613,4925865.788097655,6761757.511891898,-99.98855388570524,-99.98945307783224,-99.98709896817263,20
evidence:data,8,128,10965848.207341574,9616000.375375375,12898114.656730771,529540.6439212501,417686.05629926804,656167.2233421532,-99.9797934346698,-99.98522570502563,-99.97691373834496,20
evidence:full,1,128,3201333.4,3166825.0,4150896.8904761905,1781080.629467155,1360472.8767628595,1885111.402784519,-99.98681221730395,-99.98774877383393,-99.98476105670309,20
evidence:none,1,2048,3184.9773834377174,2933.311111111111,3733.4414232277795,3526.7335941875835,3161.955162421712,4601.07197696737,-95.68826105903975,-96.52607064310169,-95.39271571077303,20
evidence:data,4,16384,249419.01742817677,224511.03425214978,274739.8122749871,348536.37092965306,264557.9818775585,387659.72709394887,-99.95191251390918,-99.95712688321123,-99.94825024840083,20
evidence:full,4,2048,1548229.808733481,1325156.190721219,1673684.5302869352,895467.6652381695,836458.3706982442,982151.217361779,-99.98493796705819,-99.98597190339267,-99.98246779174764,20
evidence:none,1,128,19703.838095238098,17303.079518072285,21678.109523809522,8016.163213196661,7410.456568676278,10416.678666666661,-97.68602529147941,-97.96320944384304,-97.30881668281583,20
evidence:data,8,16384,482642.3888518252,429047.5555047945,530586.0083091866,202263.19755585998,168072.80299866613,227215.91736674163,-99.96483170629915,-99.96765201098655,-99.96202211312188,20
