condition_id,repetition,mode_key,threads,prompt_bytes,requests,p50_us,p95_us,p99_us,throughput_rps
inline-0000,11,evidence:none,8,2048,1000,256.0,368.7610499999996,729.5635099999998,30919.14868329105
inline-0001,3,evidence:data,1,2048,1000,3087.75,4420.57885,5123.194579999993,283.8563882332071
inline-0002,8,policy_only,4,16384,1000,8.958,11.752099999999999,18.129589999999997,306583.88901663217
inline-0003,16,policy_only,4,128,1000,0.167,0.583,0.8344099999999997,2229445.6260506264
inline-0004,6,evidence:data,1,2048,1000,3852.8955,4106.58155,4980.4320800000005,280.8963646702313
inline-0005,16,evidence:data,4,128,1000,13980.833,27965.0003,46995.73457999999,275.0402424236821
inline-0006,5,evidence:none,8,128,1000,20.8335,53.956899999998406,3515.0480899999993,44336.31310304313
inline-0007,18,evidence:full,8,128,1000,28632.708,63162.56249999998,95738.30008,266.328911253278
inline-0008,12,evidence:full,1,16384,1000,3932.958,4952.47855,5065.44834,267.9635865589887
inline-0009,17,evidence:full,8,16384,1000,28854.229,33956.98605,51006.328089999995,274.6224610552739
inline-0010,13,evidence:none,4,128,1000,31.625,40.629149999999996,53.13707999999999,31828.88789865682
inline-0011,7,evidence:full,8,16384,1000,27962.937,32157.658299999996,50932.60815999998,285.5362708184431
inline-0012,15,evidence:full,8,2048,1000,27935.646,47985.0934,71072.77499999992,276.5305227271708
inline-0013,10,policy_only,1,2048,1000,0.958,1.125,1.25,665022.7304769277
inline-0014,5,evidence:none,4,16384,1000,237.2705,296.63125,354.56059,15957.542468884907
inline-0015,6,evidence:none,1,16384,1000,77.7705,89.41905,96.21425,12652.035237385771
inline-0016,17,policy_only,8,128,1000,0.208,0.875,16.056579999999986,1834862.385321101
inline-0017,9,policy_only,1,2048,1000,0.667,0.833,0.9186599999999985,990466.7574594527
inline-0018,2,evidence:full,8,16384,1000,28947.208,35026.6944,41431.99249999994,279.831269646838
inline-0019,17,evidence:none,4,2048,1000,149.333,204.64999999999998,260.4584199999999,25136.785589302024
inline-0020,0,evidence:full,8,128,1000,26027.2085,65892.89135,141162.6124999998,274.78806772429357
inline-0021,15,evidence:none,8,128,1000,28.459,39.506249999999994,4259.648749999996,33133.74778571305
inline-0022,12,policy_only,1,2048,1000,0.875,0.917,1.0,875880.6980418811
inline-0023,6,evidence:data,1,16384,1000,3346.333,4909.2393,5177.16417,278.70359628669263
